"Origin","Destination","Amount"
"Sydney Inner City","Sydney Inner City",7
"Lower Hunter","Botany",7
"Newcastle","Botany",7
"Newcastle","Sydney Inner City",7
"Botany","Newcastle",7
"Botany","Botany",8
"Botany","Sydney Inner City",38
"Dapto - Port Kembla","Dapto - Port Kembla",74
"Sydney Inner City","Botany",34
"Dapto - Port Kembla","Botany",2
"Dapto - Port Kembla","Lower Hunter",2
"Dapto - Port Kembla","Newcastle",8
"Sydney Inner City","Sydney Inner City",157
"Dapto - Port Kembla","Sydney Inner City",14
"Lower Hunter","Lower Hunter",76
"Lower Hunter","Newcastle",20
"Newcastle","Lower Hunter",54
"Newcastle","Newcastle",133
"Newcastle","Dapto - Port Kembla",8
"Newcastle","Botany",5
"Newcastle","Sydney Inner City",29
"Sydney Inner City","Botany",6
"Newcastle","Newcastle",6
"Newcastle","Newcastle",6
"Newcastle","Dapto - Port Kembla",6
"Lower Hunter","Lower Hunter",210
"Lower Hunter","Newcastle",308
"Newcastle","Lower Hunter",4
"Newcastle","Newcastle",71
"Newcastle","Dapto - Port Kembla",2
"Lower Hunter","Botany",14
"Lower Hunter","Sydney Inner City",100
"Lower Hunter","Dapto - Port Kembla",16
"Newcastle","Botany",4
"Newcastle","Sydney Inner City",28
"Botany","Dapto - Port Kembla",5
"Sydney Inner City","Botany",5
"Sydney Inner City","Botany",5
"Newcastle","Lower Hunter",5
"Lower Hunter","Lower Hunter",0
"Lower Hunter","Newcastle",0
"Lower Hunter","Botany",0
"Lower Hunter","Sydney Inner City",0
"Lower Hunter","Dapto - Port Kembla",0
"Sydney Inner City","Newcastle",4
"Newcastle","Botany",4
"Sydney Inner City","Botany",4
"Botany","Dapto - Port Kembla",4
"Sydney Inner City","Botany",4
"Dapto - Port Kembla","Botany",4
"Newcastle","Lower Hunter",4
"Newcastle","Newcastle",4
"Newcastle","Botany",4
"Newcastle","Botany",4
"Lower Hunter","Botany",3
"Lower Hunter","Botany",3
"Newcastle","Newcastle",3
"Lower Hunter","Botany",3
"Sydney Inner City","Dapto - Port Kembla",3
"Lower Hunter","Botany",3
"Dapto - Port Kembla","Botany",3
"Dapto - Port Kembla","Lower Hunter",3
"Sydney Inner City","Dapto - Port Kembla",3
"Newcastle","Botany",3
"Newcastle","Sydney Inner City",3
